row,type,name,province,county,district,rural,hierarchicalCode,nationalId
41,دهستان,ابرغان,آذربایجان شرقی,سراب,مرکزی,,10131010,1000015410
42,دهستان,آغمیون,آذربایجان شرقی,سراب,مرکزی,,10131011,1000015428
43,دهستان,حومه,آذربایجان شرقی,سراب,مرکزی,,10131012,1000015436
44,دهستان,رازلیق,آذربایجان شرقی,سراب,مرکزی,,10131013,1000015444
45,دهستان,صائین,آذربایجان شرقی,سراب,مرکزی,,10131014,1000015451
46,دهستان,ملایعقوب,آذربایجان شرقی,سراب,مرکزی,,10131015,1000015469
47,شهر,سراب,آذربایجان شرقی,سراب,مرکزی,,101310500,1000041176
48,بخش,مهربان,آذربایجان شرقی,سراب,,,101311,1000004695
49,دهستان,شربیان,آذربایجان شرقی,سراب,مهربان,,10131110,1000015477
50,دهستان,اردلان,آذربایجان شرقی,سراب,مهربان,,10131111,1000015485
51,دهستان,آلان برآغوش,آذربایجان شرقی,سراب,مهربان,,10131112,1000015493
52,شهر,مهربان,آذربایجان شرقی,سراب,مهربان,,101311500,1000041184
53,شهر,شربیان,آذربایجان شرقی,سراب,مهربان,,101311501,1000041192
54,شهر,دوزدوزان,آذربایجان شرقی,سراب,مهربان,,101311502,1000041200
55,شهرستان,مرند,آذربایجان شرقی,,,,1014,1000000370
56,بخش,مرکزی,آذربایجان شرقی,مرند,,,101410,1000004703
57,دهستان,بناب,آذربایجان شرقی,مرند,مرکزی,,10141010,1000015501
58,دهستان,دولت آباد,آذربایجان شرقی,مرند,مرکزی,,10141011,1000015519
59,دهستان,زنوزق,آذربایجان شرقی,مرند,مرکزی,,10141012,1000015527
60,دهستان,میشاب شمالی,آذربایجان شرقی,مرند,مرکزی,,10141014,1000015543
61,دهستان,هرزندات شرقی,آذربایجان شرقی,مرند,مرکزی,,10141015,1000015550
62,دهستان,هرزندات غربی,آذربایجان شرقی,مرند,مرکزی,,10141016,1000015568
63,شهر,مرند,آذربایجان شرقی,مرند,مرکزی,,101410500,1000041218
64,شهر,زنوز,آذربایجان شرقی,مرند,مرکزی,,101410501,1000041226
65,شهر,بناب مرند,آذربایجان شرقی,مرند,مرکزی,,101410503,1000041242
66,بخش,یامچی,آذربایجان شرقی,مرند,,,101411,1000004711
67,دهستان,ذوالبین,آذربایجان شرقی,مرند,یامچی,,10141110,1000015576
68,دهستان,یکانات,آذربایجان شرقی,مرند,یامچی,,10141111,1000015584
69,شهر,یامچی,آذربایجان شرقی,مرند,یامچی,,101411500,1000041259
70,بخش,کشکسرای,آذربایجان شرقی,مرند,,,101412,1002574422
71,دهستان,کشکسرای,آذربایجان شرقی,مرند,کشکسرای,,10141210,1000015535
72,دهستان,یالقوز آغاج,آذربایجان شرقی,مرند,کشکسرای,,10141211,1002574414
73,شهر,کشکسرای,آذربایجان شرقی,مرند,کشکسرای,,101412500,1000041234
74,شهر,دیزج حسین بیگ,آذربایجان شرقی,مرند,کشکسرای,,101412501,1001986049
75,شهرستان,میانه,آذربایجان شرقی,,,,1015,1000000388
76,بخش,مرکزی,آذربایجان شرقی,میانه,,,101510,1000004729
77,دهستان,اوچ تپه شرقی,آذربایجان شرقی,میانه,مرکزی,,10151010,1000015592
78,دهستان,شیخ درآباد,آذربایجان شرقی,میانه,مرکزی,,10151011,1000015600
79,دهستان,قافلانکوه غربی,آذربایجان شرقی,میانه,مرکزی,,10151012,1000015618
80,دهستان,کله بوزشرقی,آذربایجان شرقی,میانه,مرکزی,,10151013,1000015626
81,دهستان,کله بوزغربی,آذربایجان شرقی,میانه,مرکزی,,10151014,1000015634
82,دهستان,گرمه جنوبی,آذربایجان شرقی,میانه,مرکزی,,10151015,1000015642
83,دهستان,قزل اوزن,آذربایجان شرقی,میانه,مرکزی,,10151016,1000015659
84,شهر,میانه,آذربایجان شرقی,میانه,مرکزی,,101510500,1000041267
85,شهر,آچاچی,آذربایجان شرقی,میانه,مرکزی,,101510501,1000041275
86,بخش,کاغذکنان,آذربایجان شرقی,میانه,,,101511,1000004737
87,دهستان,قافلانکوه شرقی,آذربایجان شرقی,میانه,کاغذکنان,,10151110,1000015667
88,دهستان,کاغذکنان شمالی,آذربایجان شرقی,میانه,کاغذکنان,,10151111,1000015675
89,دهستان,کاغذکنان مرکزی,آذربایجان شرقی,میانه,کاغذکنان,,10151112,1000015683
90,شهر,آقکند,آذربایجان شرقی,میانه,کاغذکنان,,101511500,1000041283
91,بخش,ترکمانچای,آذربایجان شرقی,میانه,,,101512,1000004745
92,دهستان,اوچ تپه غربی,آذربایجان شرقی,میانه,ترکمانچای,,10151210,1000015691
93,دهستان,بروانان شرقی,آذربایجان شرقی,میانه,ترکمانچای,,10151211,1000015709
94,دهستان,بروانان غربی,آذربایجان شرقی,میانه,ترکمانچای,,10151212,1000015717
95,دهستان,بروانان مرکزی,آذربایجان شرقی,میانه,ترکمانچای,,10151213,1000015725
96,شهر,ترکمانچای,آذربایجان شرقی,میانه,ترکمانچای,,101512500,1000041291
97,بخش,کندوان,آذربایجان شرقی,میانه,,,101513,1000004752
98,دهستان,تیرچائی,آذربایجان شرقی,میانه,کندوان,,10151310,1000015733
99,دهستان,کندوان,آذربایجان شرقی,میانه,کندوان,,10151311,1000015741
100,دهستان,گرمه شمالی,آذربایجان شرقی,میانه,کندوان,,10151312,1000015758
101,شهر,ترک,آذربایجان شرقی,میانه,کندوان,,101513500,1000041309
102,شهرستان,هشترود,آذربایجان شرقی,,,,1016,1000000396
103,بخش,مرکزی,آذربایجان شرقی,هشترود,,,101610,1000004760
104,دهستان,چاراویماق شمالشرقی,آذربایجان شرقی,هشترود,مرکزی,,10161010,1000015766
105,دهستان,سلوک,آذربایجان شرقی,هشترود,مرکزی,,10161011,1000015774
106,دهستان,علی آباد,آذربایجان شرقی,هشترود,مرکزی,,10161012,1000015782
107,دهستان,قرانقو,آذربایجان شرقی,هشترود,مرکزی,,10161013,1000015790
108,دهستان,کوهسار,آذربایجان شرقی,هشترود,مرکزی,,10161014,1000015808
109,شهر,هشترود,آذربایجان شرقی,هشترود,مرکزی,,101610500,1000041317
110,بخش,نظرکهریزی,آذربایجان شرقی,هشترود,,,101611,1000004778
111,دهستان,آلمالو,آذربایجان شرقی,هشترود,نظرکهریزی,,10161110,1000015816
112,دهستان,نظرکهریزی,آذربایجان شرقی,هشترود,نظرکهریزی,,10161111,1000015824
113,شهر,نظر کهریزی,آذربایجان شرقی,هشترود,نظرکهریزی,,101611500,1000041325
114,شهرستان,کلیبر,آذربایجان شرقی,,,,1017,1000000404
115,بخش,مرکزی,آذربایجان شرقی,کلیبر,,,101710,1000004786
116,دهستان,پیغان چایی,آذربایجان شرقی,کلیبر,مرکزی,,10171010,1000015832
117,دهستان,مولان,آذربایجان شرقی,کلیبر,مرکزی,,10171011,1000015840
118,دهستان,میشه پاره,آذربایجان شرقی,کلیبر,مرکزی,,10171012,1000015857
119,دهستان,ییلاق,آذربایجان شرقی,کلیبر,مرکزی,,10171013,1000015865
120,شهر,کلیبر,آذربایجان شرقی,کلیبر,مرکزی,,101710500,1000041333
121,بخش,آبش احمد,آذربایجان شرقی,کلیبر,,,101711,1000004794
122,دهستان,آبش احمد,آذربایجان شرقی,کلیبر,آبش احمد,,10171110,1000015873
123,دهستان,سیدان,آذربایجان شرقی,کلیبر,آبش احمد,,10171111,1000015881
124,دهستان,قشلاق,آذربایجان شرقی,کلیبر,آبش احمد,,10171112,1000015899
125,شهر,آبش احمد,آذربایجان شرقی,کلیبر,آبش احمد,,101711500,1000041341
126,شهرستان,هریس,آذربایجان شرقی,,,,1018,1000000412
127,بخش,مرکزی,آذربایجان شرقی,هریس,,,101810,1000004802
128,دهستان,بدوستان شرقی,آذربایجان شرقی,هریس,مرکزی,,10181010,1000015907
129,دهستان,خانمرود,آذربایجان شرقی,هریس,مرکزی,,10181011,1000015915
130,دهستان,باروق,آذربایجان شرقی,هریس,مرکزی,,10181012,1000015923
131,شهر,هریس,آذربایجان شرقی,هریس,مرکزی,,101810500,1000041358
132,شهر,زرنق,آذربایجان شرقی,هریس,مرکزی,,101810501,1000041366
133,شهر,بخشایش,آذربایجان شرقی,هریس,مرکزی,,101810502,1000041374
134,شهر,کلوانق,آذربایجان شرقی,هریس,مرکزی,,101810503,1000041382
135,بخش,خواجه,آذربایجان شرقی,هریس,,,101811,1000004810
136,دهستان,مواضع خان شرقی,آذربایجان شرقی,هریس,خواجه,,10181110,1000015931
137,دهستان,مواضع خان شمالی,آذربایجان شرقی,هریس,خواجه,,10181111,1000015949
138,دهستان,بدوستان غربی,آذربایجان شرقی,هریس,خواجه,,10181112,1000015956
139,شهر,خواجه,آذربایجان شرقی,هریس,خواجه,,101811500,1000041390
140,شهر,اربطان,آذربایجان شرقی,هریس,خواجه,,101811501,1000545275
141,شهرستان,بناب,آذربایجان شرقی,,,,1019,1000000420
142,بخش,مرکزی,آذربایجان شرقی,بناب,,,101910,1000004828
143,دهستان,بناجوی شرقی,آذربایجان شرقی,بناب,مرکزی,,10191010,1000015964
144,دهستان,بناجوی شمالی,آذربایجان شرقی,بناب,مرکزی,,10191011,1000015972
145,دهستان,بناجوی غربی,آذربایجان شرقی,بناب,مرکزی,,10191012,1000015980
146,شهر,بناب,آذربایجان شرقی,بناب,مرکزی,,101910500,1000041408
147,شهر,خوشه مهر,آذربایجان شرقی,بناب,مرکزی,,101910501,1000544658
148,شهرستان,بستان آباد,آذربایجان شرقی,,,,1020,1000000438
149,بخش,مرکزی,آذربایجان شرقی,بستان آباد,,,102010,1000004836
150,دهستان,اوجان غربی,آذربایجان شرقی,بستان آباد,مرکزی,,10201010,1000015998
151,دهستان,شبلی,آذربایجان شرقی,بستان آباد,مرکزی,,10201011,1000016004
152,دهستان,قوریگل,آذربایجان شرقی,بستان آباد,مرکزی,,10201012,1000016012
153,دهستان,مهرانرود جنوبی,آذربایجان شرقی,بستان آباد,مرکزی,,10201013,1000016020
154,دهستان,مهرانرود مرکزی,آذربایجان شرقی,بستان آباد,مرکزی,,10201014,1000016038
155,شهر,بستان آباد,آذربایجان شرقی,بستان آباد,مرکزی,,102010500,1000041416
156,شهر,کرد کندی,آذربایجان شرقی,بستان آباد,مرکزی,,102010501,1001543550
157,بخش,تیکمه داش,آذربایجان شرقی,بستان آباد,,,102011,1000004844
158,دهستان,اوجان شرقی,آذربایجان شرقی,بستان آباد,تیکمه داش,,10201110,1000016046
159,دهستان,سهندآباد,آذربایجان شرقی,بستان آباد,تیکمه داش,,10201111,1000016053
160,دهستان,عباس شرقی,آذربایجان شرقی,بستان آباد,تیکمه داش,,10201112,1000016061
161,دهستان,عباس غربی,آذربایجان شرقی,بستان آباد,تیکمه داش,,10201113,1000016079
162,شهر,تیکمه داش,آذربایجان شرقی,بستان آباد,تیکمه داش,,102011500,1000041424
163,شهرستان,شبستر,آذربایجان شرقی,,,,1021,1000000446
164,بخش,مرکزی,آذربایجان شرقی,شبستر,,,102110,1000004851
165,دهستان,سیس,آذربایجان شرقی,شبستر,مرکزی,,10211010,1000016087
166,دهستان,گونی شرقی,آذربایجان شرقی,شبستر,مرکزی,,10211011,1000016095
167,دهستان,گونی مرکزی,آذربایجان شرقی,شبستر,مرکزی,,10211012,1000016103
168,شهر,شبستر,آذربایجان شرقی,شبستر,مرکزی,,102110500,1000041432
169,شهر,خامنه,آذربایجان شرقی,شبستر,مرکزی,,102110501,1000041440
170,شهر,شرفخانه,آذربایجان شرقی,شبستر,مرکزی,,102110502,1000041457
171,شهر,شند آباد,آذربایجان شرقی,شبستر,مرکزی,,102110503,1000041465
172,شهر,سیس,آذربایجان شرقی,شبستر,مرکزی,,102110504,1000041473
173,شهر,وایقان,آذربایجان شرقی,شبستر,مرکزی,,102110505,1000041481
174,شهر,کوزه کنان,آذربایجان شرقی,شبستر,مرکزی,,102110506,1000041499
175,شهر,علیشاه,آذربایجان شرقی,شبستر,مرکزی,,102110507,1000907475
176,شهر,داریان,آذربایجان شرقی,شبستر,مرکزی,,102110508,1000907491
177,بخش,صوفیان,آذربایجان شرقی,شبستر,,,102111,1000004869
178,دهستان,رودقات,آذربایجان شرقی,شبستر,صوفیان,,10211110,1000016111
179,دهستان,چله خانه,آذربایجان شرقی,شبستر,صوفیان,,10211111,1000016129
180,دهستان,میشوجنوبی,آذربایجان شرقی,شبستر,صوفیان,,10211112,1000016137
181,شهر,صوفیان,آذربایجان شرقی,شبستر,صوفیان,,102111500,1000041507
182,بخش,تسوج,آذربایجان شرقی,شبستر,,,102112,1000004877
183,دهستان,چهرگان,آذربایجان شرقی,شبستر,تسوج,,10211210,1000016145
184,دهستان,گونی غربی,آذربایجان شرقی,شبستر,تسوج,,10211211,1000016152
185,شهر,تسوج,آذربایجان شرقی,شبستر,تسوج,,102112500,1000041515
186,شهرستان,جلفا,آذربایجان شرقی,,,,1022,1000000453
187,بخش,مرکزی,آذربایجان شرقی,جلفا,,,102210,1000004885
188,دهستان,ارسی,آذربایجان شرقی,جلفا,مرکزی,,10221010,1000016160
189,دهستان,شجاع,آذربایجان شرقی,جلفا,مرکزی,,10221011,1000016178
190,دهستان,داران,آذربایجان شرقی,جلفا,مرکزی,,10221012,1000016186
191,شهر,جلفا,آذربایجان شرقی,جلفا,مرکزی,,102210500,1000041523
192,شهر,هادیشهر,آذربایجان شرقی,جلفا,مرکزی,,102210501,1000041531
193,بخش,سیه رود,آذربایجان شرقی,جلفا,,,102211,1000004893
194,دهستان,دیزمارغربی,آذربایجان شرقی,جلفا,سیه رود,,10221110,1000016194
195,دهستان,نوجه مهر,آذربایجان شرقی,جلفا,سیه رود,,10221111,1000016202
196,شهر,سیه رود,آذربایجان شرقی,جلفا,سیه رود,,102211500,1000041549
197,شهرستان,ملکان,آذربایجان شرقی,,,,1023,1000000461
198,بخش,مرکزی,آذربایجان شرقی,ملکان,,,102310,1000004901
199,دهستان,گاودول شرقی,آذربایجان شرقی,ملکان,مرکزی,,10231010,1000016210
200,دهستان,گاودول غربی,آذربایجان شرقی,ملکان,مرکزی,,10231011,1000016228
201,دهستان,گاودول مرکزی,آذربایجان شرقی,ملکان,مرکزی,,10231012,1000016236
202,شهر,ملکان,آذربایجان شرقی,ملکان,مرکزی,,102310500,1000041556
203,شهر,مبارک شهر,آذربایجان شرقی,ملکان,مرکزی,,102310501,1000041564
204,بخش,لیلان,آذربایجان شرقی,ملکان,,,102311,1000004919
205,دهستان,لیلان جنوبی,آذربایجان شرقی,ملکان,لیلان,,10231110,1000016244
206,دهستان,لیلان شملای,آذربایجان شرقی,ملکان,لیلان,,10231111,1000016251
207,شهر,لیلان,آذربایجان شرقی,ملکان,لیلان,,102311500,1000041572
208,شهرستان,آذرشهر,آذربایجان شرقی,,,,1024,1000000479
209,بخش,ممقان,آذربایجان شرقی,آذرشهر,,,102410,1000004927
210,دهستان,شهرک,آذربایجان شرقی,آذرشهر,ممقان,,10241010,1000016269
211,شهر,ممقان,آذربایجان شرقی,آذرشهر,ممقان,,102410500,1000041580
212,بخش,گوگان,آذربایجان شرقی,آذرشهر,,,102411,1000004935
213,دهستان,تیمورلو,آذربایجان شرقی,آذرشهر,گوگان,,10241110,1000016277
214,دهستان,دستجرد,آذربایجان شرقی,آذرشهر,گوگان,,10241111,1000016285
215,شهر,گوگان,آذربایجان شرقی,آذرشهر,گوگان,,102411500,1000041598
216,شهر,تیمورلو,آذربایجان شرقی,آذرشهر,گوگان,,102411501,1000041606
217,بخش,حومه,آذربایجان شرقی,آذرشهر,,,102412,1000004943
218,دهستان,شیرامین,آذربایجان شرقی,آذرشهر,حومه,,10241210,1000016293
219,دهستان,قبله داغی,آذربایجان شرقی,آذرشهر,حومه,,10241211,1000016301
220,دهستان,قاضی جهان,آذربایجان شرقی,آذرشهر,حومه,,10241212,1000016319
221,دهستان,ینگجه,آذربایجان شرقی,آذرشهر,حومه,,10241213,1000016327
222,شهر,آذر شهر,آذربایجان شرقی,آذرشهر,حومه,,102412500,1000041614
223,شهرستان,اسکو,آذربایجان شرقی,,,,1025,1000000487
224,بخش,مرکزی,آذربایجان شرقی,اسکو,,,102510,1000004950
225,دهستان,باویل,آذربایجان شرقی,اسکو,مرکزی,,10251010,1000016335
226,دهستان,سهند,آذربایجان شرقی,اسکو,مرکزی,,10251011,1000016343
227,دهستان,گنبر,آذربایجان شرقی,اسکو,مرکزی,,10251012,1000016350
228,شهر,اسکو,آذربایجان شرقی,اسکو,مرکزی,,102510500,1000041622
229,شهر,شهر جدید سهند,آذربایجان شرقی,اسکو,مرکزی,,102510900,1000041630
230,بخش,ایلخچی,آذربایجان شرقی,اسکو,,,102511,1000004968
231,دهستان,جزیره,آذربایجان شرقی,اسکو,ایلخچی,,10251110,1000016368
232,دهستان,شورکات جنوبی,آذربایجان شرقی,اسکو,ایلخچی,,10251111,1000016376
233,شهر,ایلخچی,آذربایجان شرقی,اسکو,ایلخچی,,102511500,1000041648
234,شهرستان,چاراویماق,آذربایجان شرقی,,,,1026,1000000495
235,بخش,مرکزی,آذربایجان شرقی,چاراویماق,,,102610,1000004976
236,دهستان,چاراویماق جنوبغربی,آذربایجان شرقی,چاراویماق,مرکزی,,10261010,1000016384
237,دهستان,چاراویماق مرکزی,آذربایجان شرقی,چاراویماق,مرکزی,,10261011,1000016392
238,دهستان,قوری چای شرقی,آذربایجان شرقی,چاراویماق,مرکزی,,10261012,1000016400
239,دهستان,ورقه,آذربایجان شرقی,چاراویماق,مرکزی,,10261013,1000016418
240,شهر,قره آغاج,آذربایجان شرقی,چاراویماق,مرکزی,,102610500,1000041655
241,بخش,شادیان,آذربایجان شرقی,چاراویماق,,,102611,1000004984
242,دهستان,چاراویماق جنوبشرقی,آذربایجان شرقی,چاراویماق,شادیان,,10261110,1000016426
243,دهستان,چاراویماق شرقی,آذربایجان شرقی,چاراویماق,شادیان,,10261111,1000016434
244,شهرستان,عجب شیر,آذربایجان شرقی,,,,1027,1000000503
245,بخش,مرکزی,آذربایجان شرقی,عجب شیر,,,102710,1000004992
246,دهستان,دیزجرودغربی,آذربایجان شرقی,عجب شیر,مرکزی,,10271010,1000016442
247,دهستان,خضرلو,آذربایجان شرقی,عجب شیر,مرکزی,,10271011,1000016459
248,شهر,عجب شیر,آذربایجان شرقی,عجب شیر,مرکزی,,102710500,1000041663
249,بخش,قلعه چای,آذربایجان شرقی,عجب شیر,,,102711,1000005007
250,دهستان,دیزجرودشرقی,آذربایجان شرقی,عجب شیر,قلعه چای,,10271110,1000016467
251,دهستان,کوهستان,آذربایجان شرقی,عجب شیر,قلعه چای,,10271111,1000016475
252,شهر,جوان قلعه,آذربایجان شرقی,عجب شیر,قلعه چای,,102711500,1000041671
253,شهرستان,ورزقان,آذربایجان شرقی,,,,1028,1000000511
254,بخش,مرکزی,آذربایجان شرقی,ورزقان,,,102810,1000005015
255,دهستان,ازومدل جنوبی,آذربایجان شرقی,ورزقان,مرکزی,,10281010,1000016483
256,دهستان,ازومدل شمالی,آذربایجان شرقی,ورزقان,مرکزی,,10281011,1000016491
257,دهستان,سینا,آذربایجان شرقی,ورزقان,مرکزی,,10281012,1000016509
258,دهستان,بکرآباد,آذربایجان شرقی,ورزقان,مرکزی,,10281013,1000016517
259,شهر,ورزقان,آذربایجان شرقی,ورزقان,مرکزی,,102810500,1000041689
260,بخش,خاروانا,آذربایجان شرقی,ورزقان,,,102811,1000005023
261,دهستان,ارزیل,آذربایجان شرقی,ورزقان,خاروانا,,10281110,1000016525
262,دهستان,جوشین,آذربایجان شرقی,ورزقان,خاروانا,,10281111,1000016533
263,دهستان,دیزمارمرکزی,آذربایجان شرقی,ورزقان,خاروانا,,10281112,1000016541
264,شهر,خاروانا,آذربایجان شرقی,ورزقان,خاروانا,,102811500,1000041697
265,شهرستان,خدا آفرین,آذربایجان شرقی,,,,1029,1000000529
266,بخش,مرکزی,آذربایجان شرقی,خدا آفرین,,,102910,1000005031
267,دهستان,کیوان,آذربایجان شرقی,خدا آفرین,مرکزی,,10291010,1000016558
268,دهستان,بسطاملو,آذربایجان شرقی,خدا آفرین,مرکزی,,10291011,1000016566
269,شهر,خمارلو,آذربایجان شرقی,خدا آفرین,مرکزی,,102910500,1000041705
270,بخش,گرمادوز,آذربایجان شرقی,خدا آفرین,,,102911,1000005049
271,دهستان,گرمادوزغربی,آذربایجان شرقی,خدا آفرین,گرمادوز,,10291110,1000016574
272,دهستان,گرمادوزشرقی,آذربایجان شرقی,خدا آفرین,گرمادوز,,10291111,1000016582
273,شهر,لاریجان,آذربایجان شرقی,خدا آفرین,گرمادوز,,102911500,1000577856
274,شهر,لاریجان,آذربایجان شرقی,خدا آفرین,گرمادوز,,102911500,1000577856
275,بخش,منجوان,آذربایجان شرقی,خدا آفرین,,,102912,1000005056
276,دهستان,دیزمارشرقی,آذربایجان شرقی,خدا آفرین,منجوان,,10291210,1000016590
277,دهستان,منجوان شرقی,آذربایجان شرقی,خدا آفرین,منجوان,,10291211,1000016608
278,دهستان,منجوان غربی,آذربایجان شرقی,خدا آفرین,منجوان,,10291212,1000016616
279,شهر,عاشقلو,آذربایجان شرقی,خدا آفرین,منجوان,,102912500,1000577864
280,شهرستان,هوراند,آذربایجان شرقی,,,,1030,1000372647
281,بخش,مرکزی,آذربایجان شرقی,هوراند,,,103010,1000004679
282,دهستان,دودانگه,آذربایجان شرقی,هوراند,مرکزی,,10301010,1000015394
283,دهستان,دیکله,آذربایجان شرقی,هوراند,مرکزی,,10301011,1000015402
284,شهر,هوراند,آذربایجان شرقی,هوراند,مرکزی,,103010500,1000041168
285,بخش,چهاردانگه,آذربایجان شرقی,هوراند,,,103011,1000372621
286,دهستان,چهاردانگه شمالی,آذربایجان شرقی,هوراند,چهاردانگه,,10301110,1000015386
287,دهستان,چهاردانگه جنوبی,آذربایجان شرقی,هوراند,چهاردانگه,,10301111,1000372605
288,استان,آذربایجان غربی,,,,,11,1000000032
289,شهرستان,ارومیه,آذربایجان غربی,,,,1110,1000000537
290,بخش,مرکزی,آذربایجان غربی,ارومیه,,,111010,1000005064
291,دهستان,باراندوز,آذربایجان غربی,ارومیه,مرکزی,,11101010,1000016624
292,دهستان,باراندوزچای جنوبی,آذربایجان غربی,ارومیه,مرکزی,,11101011,1000016632
293,دهستان,باراندوزچای شمالی,آذربایجان غربی,ارومیه,مرکزی,,11101012,1000016640
294,دهستان,باش قلعه,آذربایجان غربی,ارومیه,مرکزی,,11101013,1000016657
295,دهستان,بکشلوچای,آذربایجان غربی,ارومیه,مرکزی,,11101014,1000016665
296,دهستان,ترکمان,آذربایجان غربی,ارومیه,مرکزی,,11101015,1000016673
297,دهستان,دول,آذربایجان غربی,ارومیه,مرکزی,,11101016,1000016681
298,دهستان,روضه چای,آذربایجان غربی,ارومیه,مرکزی,,11101017,1000016699
299,دهستان,نازلوی جنوبی,آذربایجان غربی,ارومیه,مرکزی,,11101018,1000016707
300,شهر,ارومیه,آذربایجان غربی,ارومیه,مرکزی,,111010500,1000041713
301,بخش,سیلوانه,آذربایجان غربی,ارومیه,,,111011,1000005072
302,دهستان,ترگور,آذربایجان غربی,ارومیه,سیلوانه,,11101110,1000016715
303,دهستان,دشت,آذربایجان غربی,ارومیه,سیلوانه,,11101111,1000016723
304,دهستان,مرگور,آذربایجان غربی,ارومیه,سیلوانه,,11101112,1000016731
305,شهر,سیلوانه,آذربایجان غربی,ارومیه,سیلوانه,,111011500,1000041721
306,بخش,صومای برادوست,آذربایجان غربی,ارومیه,,,111012,1000005080
307,دهستان,برادوست,آذربایجان غربی,ارومیه,صومای برادوست,,11101210,1000016749
308,دهستان,صومای جنوبی,آذربایجان غربی,ارومیه,صومای برادوست,,11101211,1000016756
309,دهستان,صومای شمالی,آذربایجان غربی,ارومیه,صومای برادوست,,11101212,1000016764
310,شهر,سرو,آذربایجان غربی,ارومیه,صومای برادوست,,111012500,1000041739
311,بخش,انزل,آذربایجان غربی,ارومیه,,,111013,1000005098
312,دهستان,انزل جنوبی,آذربایجان غربی,ارومیه,انزل,,11101310,1000016772
313,دهستان,انزل شمالی,آذربایجان غربی,ارومیه,انزل,,11101311,1000016780
314,شهر,قوشچی,آذربایجان غربی,ارومیه,انزل,,111013500,1000041747
315,بخش,نازلو,آذربایجان غربی,ارومیه,,,111014,1000005106
316,دهستان,طلاتپه,آذربایجان غربی,ارومیه,نازلو,,11101410,1000016798
317,دهستان,نازلوچای,آذربایجان غربی,ارومیه,نازلو,,11101411,1000016806
