entity_type,entity_id,center_name,identity_source_id,identity_record_id,identity_basis,verification_note
county,10500013,کرند,coordinate-center-verification-2026-09-19,county:10500013,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10600026,آغاجاری,coordinate-center-verification-2026-09-19,county:10600026,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10600027,کوت عبداله,coordinate-center-verification-2026-09-19,county:10600027,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10600028,الوان,coordinate-center-verification-2026-09-19,county:10600028,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10600029,دهدز,coordinate-center-verification-2026-09-19,county:10600029,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10600030,صیدون,coordinate-center-verification-2026-09-19,county:10600030,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10700030,زرقان,coordinate-center-verification-2026-09-19,county:10700030,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10700031,بیضا,coordinate-center-verification-2026-09-19,county:10700031,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10700032,حسامی,coordinate-center-verification-2026-09-19,county:10700032,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10700033,قایمیه,coordinate-center-verification-2026-09-19,county:10700033,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10700034,باب انار,coordinate-center-verification-2026-09-19,county:10700034,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10700035,آباده طشک,coordinate-center-verification-2026-09-19,county:10700035,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10700036,اوز,coordinate-center-verification-2026-09-19,county:10700036,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10800023,ارزوییه,coordinate-center-verification-2026-09-19,county:10800023,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10800024,گنبکی,coordinate-center-verification-2026-09-19,county:10800024,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10800025,زهکلوت,coordinate-center-verification-2026-09-19,county:10800025,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10900037,باخرز,coordinate-center-verification-2026-09-19,county:10900037,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10900040,صالح آباد,coordinate-center-verification-2026-09-19,county:10900040,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10900041,ریوش,coordinate-center-verification-2026-09-19,county:10900041,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10900042,خرو,coordinate-center-verification-2026-09-19,county:10900042,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10900044,گلبهار,coordinate-center-verification-2026-09-19,county:10900044,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,10900045,عشق آباد,coordinate-center-verification-2026-09-19,county:10900045,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,11000012,زرین شهر,coordinate-center-verification-2026-09-19,county:11000012,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,11000013,نایین,coordinate-center-verification-2026-09-19,county:11000013,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,11000024,بویین و میاندشت,coordinate-center-verification-2026-09-19,county:11000024,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,11000025,تودشک,coordinate-center-verification-2026-09-19,county:11000025,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,11000026,نیک آباد,coordinate-center-verification-2026-09-19,county:11000026,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,11000028,هرند,coordinate-center-verification-2026-09-19,county:11000028,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,11100016,محمدآباد,coordinate-center-verification-2026-09-19,county:11100016,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,11100020,بمپور,coordinate-center-verification-2026-09-19,county:11100020,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,11100022,نگور,coordinate-center-verification-2026-09-19,county:11100022,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,11100024,جالق,coordinate-center-verification-2026-09-19,county:11100024,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,11100025,اسپکه,coordinate-center-verification-2026-09-19,county:11100025,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,11100026,زرآباد,coordinate-center-verification-2026-09-19,county:11100026,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,11300010,قروه درگزین,coordinate-center-verification-2026-09-19,county:11300010,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,11400010,آلونی,coordinate-center-verification-2026-09-19,county:11400010,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,11400011,مال خلیفه,coordinate-center-verification-2026-09-19,county:11400011,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,11400012,فرخ شهر,coordinate-center-verification-2026-09-19,county:11400012,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,11500012,معمولان,coordinate-center-verification-2026-09-19,county:11500012,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,11600011,توحید,coordinate-center-verification-2026-09-19,county:11600011,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,11600012,چوار,coordinate-center-verification-2026-09-19,county:11600012,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,11900010,سلطانیه,coordinate-center-verification-2026-09-19,county:11900010,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,12100012,مروست,coordinate-center-verification-2026-09-19,county:12100012,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,12200010,خمیر,coordinate-center-verification-2026-09-19,county:12200010,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,12200011,پارسیان,coordinate-center-verification-2026-09-19,county:12200011,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,12200012,سیریک,coordinate-center-verification-2026-09-19,county:12200012,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,12400010,سرعین,coordinate-center-verification-2026-09-19,county:12400010,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,12400011,اصلاندوز,coordinate-center-verification-2026-09-19,county:12400011,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,12400012,تازه کندانگوت,coordinate-center-verification-2026-09-19,county:12400012,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,12700012,مراوه,coordinate-center-verification-2026-09-19,county:12700012,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,12800010,پیش قلعه,coordinate-center-verification-2026-09-19,county:12800010,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,12900011,طبس,coordinate-center-verification-2026-09-19,county:12900011,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
county,12900012,عشق آباد,coordinate-center-verification-2026-09-19,county:12900012,verified_override,Human-reviewed administrative-center crosswalk retained as immutable local evidence; GeoNames supplies the coordinate only.
